Major,Asian Male,Asian Female,Black Male,Black Female,Hispanic Male,Hispanic Female,White Male,White Female,Total Male,Total Female,Major Total ,Year
Computing,255,64,38,19,24,0,808,87,1125,170,1295,2000
Mechanical Engineering,103,21,77,34,38,9,706,132,924,196,1120,2000
Management,51,48,83,25,15,9,501,288,650,370,938,2000
Industrial Engineering,57,81,41,46,39,14,413,256,550,397,806,2000
Computer Engineering,220,19,73,31,20,2,455,30,768,82,798,2000
Electrical Engineering,178,24,100,41,24,4,437,46,739,115,785,2000
Sciences,57,56,15,32,11,15,273,316,356,419,672,2000
Chemical Engineering,62,38,25,25,12,5,248,134,347,202,481,2000
Architecture,25,30,10,14,10,9,254,178,299,231,477,2000
Ivan Allen,14,14,11,16,6,3,187,194,218,227,412,2000
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
