Major,Asian Male,Asian Female,Black Male,Black Female,Hispanic Male,Hispanic Female,White Male,White Female,Total Male,Total Female,Major Total ,Year,,,,,,,,,
Mechanical Engineering,197,31,65,13,80,9,890,107,1232,160,1392,2008,,,,,,,,,
Management,94,74,81,38,28,18,626,354,829,484,1313,2008,,,,,,,,,
Sciences,100,130,29,35,28,28,359,402,516,595,1111,2008,,,,,,,,,
Industrial Engineering,238,97,41,18,73,22,362,212,714,349,1063,2008,,,,,,,,,
Ivan Allen,40,51,26,35,15,32,340,370,421,488,909,2008,,,,,,,,,
Biomedical Engineering,224,108,27,30,14,20,278,185,543,343,886,2008,,,,,,,,,
Computing,139,27,36,13,50,4,534,59,759,103,862,2008,,,,,,,,,
Electrical Engineering,214,24,59,18,41,11,352,24,666,77,743,2008,,,,,,,,,
Aerospace Engineering,129,15,20,4,36,6,406,74,591,99,690,2008,,,,,,,,,
Civil Engineering,60,13,47,13,48,17,375,113,530,156,686,2008,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
